"variable" "ht.code" "sex" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" 1 "f" 6408 2724699 235.181941197908 2004 "sex"
"prevalence" 2 "f" 3517 2724699 129.07847802638 2004 "sex"
"prevalence" 3 "f" 1753 2724699 64.3373818539222 2004 "sex"
"prevalence" 4 "f" 10577 2724699 388.189667922952 2004 "sex"
"prevalence" 1 "m" 5510 2667152 206.587401093001 2004 "sex"
"prevalence" 2 "m" 3912 2667152 146.673305458407 2004 "sex"
"prevalence" 3 "m" 2012 2667152 75.436270598751 2004 "sex"
"prevalence" 4 "m" 10389 2667152 389.516607977348 2004 "sex"
"incidence" 1 "f" 336 2724699 12.3316373661825 2004 "sex"
"incidence" 2 "f" 136 2724699 4.99137702916909 2004 "sex"
"incidence" 3 "f" 79 2724699 2.89940283312028 2004 "sex"
"incidence" 4 "f" 527 2724699 19.3415859880302 2004 "sex"
"incidence" 2 "m" 148 2667152 5.54899008380475 2004 "sex"
"incidence" 3 "m" 85 2667152 3.18691998056354 2004 "sex"
"incidence" 4 "m" 478 2667152 17.9217382436397 2004 "sex"
"incidence" 1 "m" 272 614641 44.2534747926025 2004 "sex"
"opr" 1 "f" 105 2724699 3.85363667693202 2004 "sex"
"opr" 2 "f" 67 2724699 2.45898721289948 2004 "sex"
"opr" 3 "f" 162 2724699 5.94561087298083 2004 "sex"
"opr" 4 "f" 334 2724699 12.2582347628123 2004 "sex"
"opr" 1 "m" 65 2667152 2.43705645572506 2004 "sex"
"opr" 2 "m" 122 2667152 4.57416750151472 2004 "sex"
"opr" 3 "m" 255 2667152 9.56075994169061 2004 "sex"
"opr" 4 "m" 442 2667152 16.5719838989304 2004 "sex"
"opr_patients" 1 "f" 101 2724699 3.70683147019175 2004 "sex"
"opr_patients" 2 "f" 64 2724699 2.34888330784428 2004 "sex"
"opr_patients" 3 "f" 138 2724699 5.06477963253923 2004 "sex"
"opr_patients" 4 "f" 303 2724699 11.1204944105753 2004 "sex"
"opr_patients" 1 "m" 61 2667152 2.28708375075736 2004 "sex"
"opr_patients" 2 "m" 98 2667152 3.67433127170855 2004 "sex"
"opr_patients" 3 "m" 181 2667152 6.78626489978824 2004 "sex"
"opr_patients" 4 "m" 340 2667152 12.7476799222541 2004 "sex"
"prevalence" 1 "f" 6792 2731755 248.631374336278 2005 "sex"
"prevalence" 2 "f" 3678 2731755 134.638721261607 2005 "sex"
"prevalence" 3 "f" 1836 2731755 67.2095411191706 2005 "sex"
"prevalence" 4 "f" 11142 2731755 407.869666203594 2005 "sex"
"prevalence" 1 "m" 5798 2674834 216.761114895354 2005 "sex"
"prevalence" 2 "m" 4059 2674834 151.747734625775 2005 "sex"
"prevalence" 3 "m" 2086 2674834 77.9861479254414 2005 "sex"
"prevalence" 4 "m" 10856 2674834 405.856961590887 2005 "sex"
"incidence" 1 "f" 349 2731755 12.7756698532628 2005 "sex"
"incidence" 2 "f" 157 2731755 5.7472211087744 2005 "sex"
"incidence" 3 "f" 93 2731755 3.40440486061159 2005 "sex"
"incidence" 4 "f" 566 2731755 20.7192811946899 2005 "sex"
"incidence" 1 "m" 314 2674834 11.7390462361403 2005 "sex"
"incidence" 2 "m" 178 2674834 6.65461856698397 2005 "sex"
"incidence" 3 "m" 94 2674834 3.51423677132861 2005 "sex"
"incidence" 4 "m" 557 2674834 20.8237221450004 2005 "sex"
"opr" 1 "f" 81 2731755 2.96512681408106 2005 "sex"
"opr" 2 "f" 98 2731755 3.5874373799993 2005 "sex"
"opr" 3 "f" 157 2731755 5.7472211087744 2005 "sex"
"opr" 4 "f" 336 2731755 12.2997853028548 2005 "sex"
"opr" 1 "m" 90 2674834 3.36469478105931 2005 "sex"
"opr" 2 "m" 129 2674834 4.82272918618501 2005 "sex"
"opr" 3 "m" 197 2674834 7.36494302076316 2005 "sex"
"opr" 4 "m" 416 2674834 15.5523669880075 2005 "sex"
"opr_patients" 1 "f" 78 2731755 2.85530730244843 2005 "sex"
"opr_patients" 2 "f" 82 2731755 3.0017333179586 2005 "sex"
"opr_patients" 3 "f" 119 2731755 4.35617396142773 2005 "sex"
"opr_patients" 4 "f" 279 2731755 10.2132145818348 2005 "sex"
"opr_patients" 1 "m" 79 2674834 2.95345430781873 2005 "sex"
"opr_patients" 2 "m" 102 2674834 3.81332075186722 2005 "sex"
"opr_patients" 3 "m" 143 2674834 5.34612615212757 2005 "sex"
"opr_patients" 4 "m" 324 2674834 12.1129012118135 2005 "sex"
"prevalence" 1 "f" 7165 2739658 261.528993764915 2006 "sex"
"prevalence" 2 "f" 3875 2739658 141.441011980327 2006 "sex"
"prevalence" 3 "f" 1930 2739658 70.4467491927825 2006 "sex"
"prevalence" 4 "f" 11731 2739658 428.192132010638 2006 "sex"
"prevalence" 1 "m" 6129 2683646 228.383326265834 2006 "sex"
"prevalence" 2 "m" 4241 2683646 158.031275361952 2006 "sex"
"prevalence" 3 "m" 2172 2683646 80.9346687305256 2006 "sex"
"prevalence" 4 "m" 11407 2683646 425.056061790564 2006 "sex"
"incidence" 1 "f" 320 2739658 11.6802900216012 2006 "sex"
"incidence" 2 "f" 144 2739658 5.25613050972056 2006 "sex"
"incidence" 3 "f" 76 2739658 2.77406888013029 2006 "sex"
"incidence" 4 "f" 514 2739658 18.761465847197 2006 "sex"
"incidence" 1 "m" 276 2683646 10.2845159160336 2006 "sex"
"incidence" 2 "m" 182 2683646 6.78181846637001 2006 "sex"
"incidence" 3 "m" 85 2683646 3.16733280022775 2006 "sex"
"incidence" 4 "m" 516 2683646 19.2275732343237 2006 "sex"
"opr" 1 "f" 96 2739658 3.50408700648037 2006 "sex"
